Web/Mobile;Przegl鉅arka;Kontynent;Czas (s)
web;Edge;Australia;10,769
web;Edge;Europa;11,17
web;Edge;Z這to;0,604
web;Edge;Afryka;42,836
web;Edge;Ameryka P馧nocna;16,361
web;Edge;Z這to;0,768
web;Firefox;Europa;21,552
web;Firefox;Z這to;0,997
web;Opera;Australia;66,549
web;Opera;Azja;206,139
web;Opera;Europa;41,512
web;Opera;Z這to;0,567
web;Edge;Afryka;50,842
web;Firefox;Z這to;2,334
web;Chrome;Australia;32,39
web;Chrome;Z這to;0,589
web;Opera;Australia;26,383
web;Opera;Z這to;0,635
web;IE;Z這to;1,268
web;Edge;Ameryka Po逝dniowa;23,335
web;Edge;Australia;11,022
web;Edge;Z這to;0,892
web;Edge;Ameryka Po逝dniowa;15,882
web;Edge;Australia;8,964
web;Edge;Z這to;0,561
web;Edge;Ameryka Po逝dniowa;20,722
web;Edge;Australia;11,532
web;Edge;Z這to;0,682
web;Edge;Ameryka P馧nocna;21,525
web;Edge;Z這to;0,891
web;Edge;Ameryka P馧nocna;18,912
web;Edge;Z這to;0,601
web;IE;Z這to;3,272
web;IE;Z這to;1,147
web;Firefox;Uruchomienie;5,491
web;Firefox;Z這to;1,149
web;Chrome;Uruchomienie;2,957
web;Chrome;Z這to;0,636
web;Opera;Uruchomienie;2,791
web;Opera;Z這to;0,564
web;IE;Uruchomienie;1,717
web;IE;Z這to;1
web;Edge;Uruchomienie;1,868
web;Edge;Z這to;0,68
web;Firefox;Uruchomienie;5,915
web;Firefox;Z這to;1,408
web;Edge;Uruchomienie;3,42
web;Edge;Australia;12,077
web;Edge;Uruchomienie;3,091
web;Edge;Z這to;0,921
web;Edge;Uruchomienie;1,801
web;Edge;Australia;10,537
web;Edge;Uruchomienie;2,156
web;Edge;Z這to;0,913
web;Firefox;Uruchomienie;6,172
web;Firefox;Ameryka Po逝dniowa;24,294
web;Firefox;Australia;15,503
web;Firefox;Z這to;0,937
web;Edge;Uruchomienie;1,93
web;Edge;Z這to;0,721
mobile;Chrome;Uruchomienie;30,292
mobile;Chrome;Europa;291,011
mobile;Chrome;Z這to;1,711
web;Edge;Uruchomienie;4,486
web;Edge;Afryka;44,528
web;Edge;Z這to;0,737
mobile;Chrome;Uruchomienie;20,201
mobile;Chrome;Australia;194,736
mobile;Chrome;Z這to;1,66
emulator;Chrome;Uruchomienie;19,699
emulator;Chrome;Z這to;2,354
web;Edge;Uruchomienie;1,872
web;Edge;Europa;13,553
web;Edge;Z這to;0,478
web;Firefox;Uruchomienie;5,382
web;Edge;Uruchomienie;3,112
web;Edge;Europa;14,69
web;Edge;Z這to;0,586
mobile;Chrome;Uruchomienie;23,447
mobile;Chrome;Europa;275,381
mobile;Chrome;Z這to;1,859
web;Edge;Uruchomienie;3,052
web;Edge;Europa;13,855
web;Edge;Z這to;0,666
mobile;Chrome;Uruchomienie;20,197
mobile;Chrome;Europa;278,086
mobile;Chrome;Z這to;1,691
web;Edge;Uruchomienie;2,971
web;Edge;Z這to;0,684
web;Edge;Uruchomienie;3,012
web;Edge;Uruchomienie;3,187
web;Edge;Z這to;0,783
web;Edge;Uruchomienie;3,149
web;Edge;Uruchomienie;3,096
web;Edge;Europa;14,426
web;Edge;Uruchomienie;1,724
web;Edge;Australia;9,725
emulator;Chrome;Uruchomienie;22,417
emulator;Chrome;Europa;312,816
emulator;Chrome;Z這to;1,984
web;Edge;Uruchomienie;2,169
web;Edge;Azja;54,087
web;Edge;Z這to;0,663
web;Chrome;Uruchomienie;4
web;Chrome;Z這to;0,585
emulator;Chrome;Uruchomienie;22,32
emulator;Chrome;Z這to;2,157
mobile;Chrome;Uruchomienie;20,279
mobile;Chrome;Z這to;2,301
web;Edge;Uruchomienie;3,097
web;Edge;Europa;13,7
web;Edge;Z這to;0,613
web;Firefox;Uruchomienie;5,518
emulator;Chrome;Uruchomienie;26,856
emulator;Chrome;Z這to;2,515
web;Edge;Uruchomienie;3,183
web;Edge;Uruchomienie;3,472
web;Edge;Uruchomienie;3,280
web;Edge;Uruchomienie;3,695
web;Edge;Uruchomienie;4,230
web;Edge;Uruchomienie;3,431
web;Edge;Uruchomienie;3,337
web;Edge;Uruchomienie;3,839
web;Edge;Uruchomienie;4,253
web;Edge;Uruchomienie;4,272
web;Edge;Uruchomienie;3,486
web;Firefox;Uruchomienie;6,217
web;Edge;Uruchomienie;3,157
web;Edge;Europa;8,834
web;Edge;Z這to;1,151
emulator;Chrome;Uruchomienie;29,129
web;Edge;Uruchomienie;3,128
web;Edge;Europa;9,583
web;Edge;Z這to;1,245
emulator;Chrome;Uruchomienie;28,943
emulator;Chrome;Uruchomienie;24,089
emulator;Chrome;Australia;65,573
emulator;Chrome;Z這to;2,588
web;Edge;Uruchomienie;2,062
web;Edge;Uruchomienie;3,085
web;Edge;Uruchomienie;2,891
web;Edge;Australia;4,196
web;Edge;Z這to;1,301
web;Firefox;Uruchomienie;3,951
web;Firefox;Uruchomienie;5,198
web;Edge;Uruchomienie;3,202
web;Edge;Afryka;6,024
web;Edge;Z這to;1,292
web;Firefox;Uruchomienie;5,388
web;Firefox;Afryka;26,792
web;Edge;Uruchomienie;3,556
web;Edge;Afryka;5,757
web;Edge;Z這to;1,243
web;Edge;Uruchomienie;4,041
web;Edge;Uruchomienie;3,400
web;Edge;Uruchomienie;3,529
web;Edge;Uruchomienie;3,336
web;Edge;Afryka;5,955
web;Edge;Z這to;1,179
web;Chrome;Uruchomienie;5,698
web;Edge;Uruchomienie;3,462
web;Edge;Uruchomienie;3,766
web;Edge;Uruchomienie;3,385
web;Edge;Australia;3,071
web;Edge;Z這to;1,400
web;Edge;Uruchomienie;3,607
web;Edge;Afryka;57,728
web;Edge;Z這to;1,187
web;Edge;Uruchomienie;3,495
web;Edge;Uruchomienie;3,518
web;Edge;Uruchomienie;3,160
web;Edge;Europa;10,222
web;Edge;Z這to;1,302
web;Edge;Uruchomienie;3,280
web;Edge;Afryka;9,066
web;Edge;Z這to;0,870
web;Edge;Uruchomienie;3,295
web;Edge;Afryka;11,902
web;Edge;Uruchomienie;4,154
web;Edge;Afryka;57,953
web;Edge;Z這to;0,596
web;Edge;Uruchomienie;3,147
web;Edge;Europa;14,306
web;Edge;Z這to;0,659
emulator;Chrome;Uruchomienie;23,155
emulator;Chrome;Australia;54,204
emulator;Chrome;Z這to;2,674
emulator;Chrome;Uruchomienie;22,087
emulator;Chrome;Europa;98,339
emulator;Chrome;Uruchomienie;22,691
emulator;Chrome;Uruchomienie;22,067
emulator;Chrome;Australia;129,485
emulator;Chrome;Z這to;2,736
mobile;Chrome;Uruchomienie;22,281
mobile;Chrome;Afryka;637,128
mobile;Chrome;Z這to;2,659
web;Edge;Uruchomienie;3,637
web;Edge;Ameryka P馧nocna;17,442
web;Edge;Uruchomienie;3,272
web;Edge;Australia;12,097
web;Edge;Uruchomienie;2,923
web;Edge;Uruchomienie;2,802
web;Edge;Australia;15,214
web;Edge;Z這to;1,117
web;Edge;Uruchomienie;3,274
web;Edge;Uruchomienie;2,782
web;Edge;Australia;12,750
web;Edge;Z這to;0,767
web;Edge;Uruchomienie;3,420
web;Edge;Uruchomienie;3,133
web;Edge;Afryka;48,696
web;Edge;Ameryka Po逝dniowa;26,345
web;Edge;Ameryka P馧nocna;26,861
web;Edge;Australia;23,180
web;Edge;Azja;48,887
web;Edge;Europa;20,574
web;Edge;Z這to;0,866
web;IE;Uruchomienie;4,091
web;IE;Uruchomienie;2,908
web;IE;Uruchomienie;3,070
web;Firefox;Uruchomienie;5,214
web;Firefox;Afryka;53,416
web;Firefox;Ameryka Po逝dniowa;39,084
web;Firefox;Ameryka P馧nocna;41,940
web;Firefox;Australia;34,007
web;Firefox;Azja;84,104
web;Firefox;Europa;41,590
web;Firefox;Z這to;0,720
web;Chrome;Uruchomienie;2,910
web;Chrome;Afryka;77,161
web;Chrome;Ameryka Po逝dniowa;49,466
web;Chrome;Ameryka P馧nocna;46,235
web;Chrome;Australia;38,732
web;Chrome;Azja;96,681
web;Chrome;Europa;42,919
web;Chrome;Uruchomienie;3,626
web;Firefox;Uruchomienie;5,106
web;Firefox;Z這to;1,025
web;Chrome;Uruchomienie;2,445
web;Chrome;Z這to;1,154
web;Opera;Uruchomienie;3,579
web;Opera;Afryka;75,279
web;Opera;Ameryka Po逝dniowa;47,370
web;Opera;Ameryka P馧nocna;44,345
web;Opera;Australia;37,395
web;Opera;Azja;90,293
web;Opera;Europa;40,639
web;Opera;Z這to;0,834
web;Edge;Uruchomienie;1,902
web;Edge;Afryka;30,944
web;Edge;Ameryka Po逝dniowa;26,957
web;Edge;Ameryka P馧nocna;26,741
web;Edge;Australia;24,196
web;Edge;Azja;42,119
web;Edge;Europa;25,092
web;Edge;Z這to;0,726
web;IE;Uruchomienie;1,566
web;IE;Uruchomienie;2,982
web;IE;Uruchomienie;3,148
web;IE;Uruchomienie;3,091
web;IE;Uruchomienie;3,117
web;IE;Uruchomienie;2,971
web;IE;Uruchomienie;3,176
web;IE;Uruchomienie;3,338
web;IE;Uruchomienie;3,827
web;IE;Uruchomienie;3,608
web;IE;Uruchomienie;3,661
web;IE;Uruchomienie;3,285
web;IE;Uruchomienie;3,030
web;Edge;Uruchomienie;3,405
web;Edge;Afryka;37,542
web;Edge;Ameryka Po逝dniowa;29,171
web;Edge;Ameryka P馧nocna;28,609
web;Edge;Australia;24,929
web;Edge;Azja;46,451
web;Edge;Europa;26,828
web;Edge;Z這to;0,799
web;IE;Uruchomienie;3,766
web;IE;Uruchomienie;3,071
web;IE;Uruchomienie;101,185
web;IE;Uruchomienie;3,145
web;IE;Uruchomienie;2,742
web;IE;Afryka;572,791
web;IE;Uruchomienie;2,861
web;IE;Uruchomienie;2,806
web;IE;Afryka;561,832
web;IE;Ameryka Po逝dniowa;186,401
web;IE;Ameryka P馧nocna;182,307
web;IE;Australia;106,262
web;IE;Uruchomienie;2,350
web;IE;Z這to;1,895
web;Edge;Uruchomienie;2,775
web;Edge;Australia;15,274
web;Edge;Z這to;0,740
web;Edge;Uruchomienie;2,496
web;Edge;Australia;16,239
web;Edge;Z這to;0,706
web;Edge;Uruchomienie;1,619
web;Edge;Uruchomienie;2,723
web;Edge;Australia;15,741
web;Edge;Z這to;0,587
web;Firefox;Uruchomienie;5,152
web;Firefox;Australia;20,932
web;Firefox;Z這to;0,839
web;Edge;Uruchomienie;2,453
web;Edge;Australia;16,018
web;Edge;Z這to;0,556
web;Edge;Uruchomienie;2,428
web;Edge;Z這to;0,818
web;Firefox;Uruchomienie;4,634
web;Firefox;Z這to;1,334
web;Edge;Uruchomienie;2,877
web;Edge;Uruchomienie;2,813
web;Edge;Ameryka Po逝dniowa;18,617
web;Edge;Australia;24,661
web;Edge;Z這to;0,610
web;Edge;Uruchomienie;2,392
web;Edge;Ameryka Po逝dniowa;18,580
web;Edge;Australia;24,285
web;Edge;Z這to;0,634
mobile;Chrome;Uruchomienie;26,341
mobile;Chrome;Uruchomienie;26,082
mobile;Chrome;Australia;163,700
mobile;Chrome;Z這to;3,165
web;Edge;Uruchomienie;2,563
web;Edge;Ameryka Po逝dniowa;21,923
web;Edge;Australia;25,712
web;Edge;Z這to;0,694
mobile;Chrome;Uruchomienie;22,035
mobile;Chrome;Ameryka Po逝dniowa;206,858
mobile;Chrome;Australia;160,947
mobile;Chrome;Z這to;2,839
web;Edge;Uruchomienie;2,470
web;Edge;Z這to;0,731
web;Edge;Uruchomienie;1,918
web;Edge;Z這to;0,747
web;Edge;Uruchomienie;2,335
web;Edge;Z這to;0,715
web;Edge;Uruchomienie;2,344
web;Edge;Z這to;0,729
web;Edge;Uruchomienie;2,409
web;Edge;Z這to;0,729
web;Edge;Uruchomienie;2,423
web;Edge;Afryka;34,637
web;Edge;Ameryka Po逝dniowa;29,587
web;Edge;Ameryka P馧nocna;27,329
web;Edge;Australia;24,021
web;Edge;Azja;41,098
web;Edge;Europa;25,255
web;Edge;Z這to;0,679
web;Edge;Uruchomienie;2,496
web;Edge;Z這to;0,960
web;Edge;Uruchomienie;1,652
web;Edge;Uruchomienie;2,192
web;Edge;Z這to;0,844
web;Edge;Uruchomienie;2,222
web;Edge;Ameryka Po逝dniowa;18,751
web;Edge;Australia;24,544
web;Edge;Z這to;0,511
web;Edge;Uruchomienie;2,356
web;Edge;Afryka;32,960
web;Edge;Ameryka Po逝dniowa;27,419
web;Edge;Ameryka P馧nocna;27,065
web;Edge;Australia;24,360
web;Edge;Azja;42,136
web;Edge;Europa;25,245
web;Edge;Z這to;0,645
web;IE;Uruchomienie;2,860
web;IE;Afryka;586,610
web;IE;Ameryka Po逝dniowa;190,834
web;IE;Ameryka P馧nocna;185,702
web;IE;Australia;110,624
web;IE;Azja;655,434
web;IE;Europa;145,835
web;IE;Z這to;1,050
web;Edge;Uruchomienie;1,653
web;Edge;Z這to;0,598
web;Edge;Uruchomienie;2,347
web;Edge;Uruchomienie;2,291
web;Edge;Z這to;1,047
web;Edge;Uruchomienie;2,172
web;Edge;Z這to;0,860
web;Edge;Uruchomienie;2,335
web;Edge;Australia;15,434
web;Edge;Z這to;0,554
web;Edge;Uruchomienie;2,365
web;Edge;Australia;15,665
web;Edge;Z這to;0,675
web;Edge;Uruchomienie;2,339
web;Edge;Australia;15,441
web;Edge;Z這to;0,707
web;Edge;Uruchomienie;1,671
web;Edge;Australia;15,308
web;Edge;Z這to;0,614
web;Edge;Uruchomienie;2,785
web;Edge;Uruchomienie;2,249
web;Edge;Uruchomienie;2,351
web;Edge;Uruchomienie;2,170
web;Edge;Uruchomienie;2,327
web;Edge;Australia;15,419
web;Edge;Z這to;0,605
web;Edge;Uruchomienie;2,185
web;Edge;Australia;15,650
web;Edge;Z這to;0,778
web;Edge;Uruchomienie;2,329
web;Edge;Australia;15,530
web;Edge;Z這to;0,598
web;Edge;Uruchomienie;2,307
web;Edge;Australia;15,673
web;Edge;Z這to;0,587
web;Firefox;Uruchomienie;4,584
web;Edge;Uruchomienie;2,358
web;Edge;Australia;15,933
web;Edge;Z這to;2,207
